AB+,ΑΒ +,
AB-,ΑΒ-,
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-,
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-,
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-,
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-,
ACC-CF-.YYYY.-,ACC-CF-.YYYY.-,
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-,
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-,
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-,
ACC-PINV-RET-.YYYY.-,ACC-PINV-RET-.YYYY.-,
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-,
ACC-PSINV-.YYYY.-,ACC-PSINV-.YYYY.-,
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-,
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-,
ACC-SINV-RET-.YYYY.-,ACC-SINV-RET-.YYYY.-,
AE,ΑΕ,
AMC Expiry Date,Ε.Σ.Υ. Ημερομηνία λήξης,
API,API,
API Endpoint,API Endpoint,
API Key,Κλειδί API,
API Secret Key,Μυστικό κλειδί API,
API Token,API Token,
API consumer key,Κλειδί καταναλωτή API,
API consumer secret,API καταναλωτικό απόρρητο,
AU,AU,
AWS Access Key ID,Αναγνωριστικό κλειδιού πρόσβασης AWS,
Abbr,Συντ.,
Abbr can not be blank or space,Συντ δεν μπορεί να είναι κενό ή χώρος,
Abbreviation,Συντομογραφία,
Abbreviation already used for another company,Σύντμηση που χρησιμοποιείται ήδη για μια άλλη εταιρεία,
Abbreviation cannot have more than 5 characters,Μια συντομογραφία δεν μπορεί να έχει περισσότερους από 5 χαρακτήρες,
Abbreviation is mandatory,Σύντμηση είναι υποχρεωτική,
Abdomen,Κοιλιά,
About the Company,Σχετικά με την εταιρεία,
About your company,Σχετικά με την εταιρεία σας,
About {0} minute remaining,Περίπου το {0} λεπτό που απομένει,
About {0} minutes remaining,Περίπου τα {0} υπόλοιπα,
About {0} seconds remaining,Περίπου {0} δευτερόλεπτα,
Above,Παραπάνω,
Absent,Απών,
Absent Days,Απόντες ημέρες,
Absent Student Report,Απών Έκθεση Φοιτητών,
Academic,Ακαδημαϊκός,
Academic Term,Ακαδημαϊκός όρος,
Academic Term and Program,Ακαδημαϊκός Όρος και Πρόγραμμα,
Academic Term: ,Ακαδημαϊκός όρος:,
Academic Year,Ακαδημαϊκό έτος,
Academic Year Name,Όνομα Ακαδημαϊκού Έτους,
Academic Year: ,Ακαδημαϊκό έτος:,
Academics User,ακαδημαϊκοί χρήστη,
Accepted,Αποδεκτό,
Accepted + Rejected Qty must be equal to Received quantity for Item {0},Η αποδεκτή + η απορριπτέα ποσότητα πρέπει να είναι ίση με την ληφθείσα ποσότητα για το είδος {0},
Accepted Qty,Αποδεκτή ποσότητα,
Accepted Quantity,Αποδεκτή ποσότητα,
Accepted Warehouse,Έγκυρη Αποθήκη,
Access Token,Η πρόσβαση παραχωρήθηκε,
Access Token Secret,Πρόσβαση στο Token Secret,
Accessable Value,Προσβάσιμη τιμή,
Account,λογαριασμός,
Account Balance,Υπόλοιπο λογαριασμού,
Account Balance Processing Error,Σφάλμα επεξεργασίας υπολοίπου λογαριασμού,
Account Currency,Νομισματική Μονάδα,
Account Details,Στοιχεία λογαριασμού,
Account Head,Κύρια εγγραφή λογαριασμού,
Account Info,Πληροφορίες λογαριασμού,
Account Manager,Διαχειριστής λογαριασμού,
Account Missing,Λείπει ο λογαριασμός,
Account Name,Όνομα λογαριασμού,
Account No,Αριθμός λογαριασμού,
Account Not Found,Ο λογαριασμός δεν βρέθηκε,
Account Number,Αριθμός λογαριασμού,
Account Number {0} already used in account {1},Ο αριθμός λογαριασμού {0} που χρησιμοποιείται ήδη στον λογαριασμό {1},
Account Paid From,Ο λογαριασμός που αμείβονται από,
Account Paid To,Καταβάλλεται στα,
Account Pay Only,Ο λογαριασμός πληρώνουν μόνο,
Account SID,Λογαριασμός SID,
Account Subtype,Υποτύπου λογαριασμού,
Account Type,Τύπος Λογαριασμού,
Account Type for {0} must be {1},Τύπος λογαριασμού για {0} πρέπει να είναι {1},
Account Value,Αξία λογαριασμού,
"Account balance already in Credit, you are not allowed to set 'Balance Must Be' as 'Debit'","Το υπόλοιπο του λογαριασμού είναι ήδη πιστωτικό, δεν επιτρέπεται να ορίσετε την επιλογή το υπόλοιπο πρέπει να είναι χρεωστικό",
"Account balance already in Debit, you are not allowed to set 'Balance Must Be' as 'Credit'","Το υπόλοιπο του λογαριασμού είναι ήδη χρεωστικό, δεν μπορείτε να ορίσετε την επιλογή το υπόλοιπο πρέπει να είναι 'πιστωτικό'",
Account for Change Amount,Ο λογαριασμός για την Αλλαγή Ποσό,
Account is mandatory to get payment entries,Ο λογαριασμός είναι υποχρεωτικός για την πραγματοποίηση εγγραφών πληρωμής,
Account is not set for the dashboard chart {0},Ο λογαριασμός δεν έχει οριστεί για το διάγραμμα του πίνακα ελέγχου {0},
Account number for account {0} is not available.<br> Please setup your Chart of Accounts correctly.,Ο αριθμός λογαριασμού για λογαριασμό {0} δεν είναι διαθέσιμος. <br> Ρυθμίστε σωστά το Λογαριασμό σας.,
Account with child nodes cannot be converted to ledger,Ένας λογαριασμός με κόμβους παιδί δεν μπορεί να μετατραπεί σε καθολικό,
Account with child nodes cannot be set as ledger,Ο λογαριασμός με κόμβους παιδί δεν μπορεί να οριστεί ως καθολικό,
Account with existing transaction can not be converted to group.,Ο λογαριασμός με υπάρχουσα συναλλαγή δεν μπορεί να μετατραπεί σε ομάδα.,
Account with existing transaction can not be deleted,Ο λογαριασμός με υπάρχουσα συναλλαγή δεν μπορεί να διαγραφεί,
Account with existing transaction cannot be converted to ledger,Ο λογαριασμός με υπάρχουσα συναλλαγή δεν μπορεί να μετατραπεί σε καθολικό,
Account {0} does not belong to company {1},Ο λογαριασμός {0} δεν ανήκει στη εταιρεία {1},
Account {0} does not belong to company: {1},Ο λογαριασμός {0} δεν ανήκει στην εταιρεία: {1},
Account {0} does not belongs to company {1},Ο λογαριασμός {0} δεν ανήκει στην εταιρεία {1},
Account {0} does not exist,Ο λογαριασμός {0} δεν υπάρχει,
Account {0} does not exists,Ο λογαριασμός {0} δεν υπάρχει,
Account {0} does not exists in the dashboard chart {1},Ο λογαριασμός {0} δεν υπάρχει στο γράφημα του πίνακα ελέγχου {1},
Account {0} does not match with Company {1} in Mode of Account: {2},Ο λογαριασμός {0} δεν αντιστοιχεί στην εταιρεία {1} στη λειτουργία λογαριασμού: {2},
Account {0} exists in parent company {1}.,Ο λογαριασμός {0} υπάρχει στη μητρική εταιρεία {1}.,
Account {0} has been entered multiple times,Ο λογαριασμός {0} έχει τεθεί πολλές φορές,
Account {0} is added in the child company {1},Ο λογαριασμός {0} προστίθεται στην παιδική εταιρεία {1},
Account {0} is frozen,Ο λογαριασμός {0} έχει παγώσει,
Account {0} is invalid. Account Currency must be {1},Ο Λογαριασμός {0} είναι άκυρος. Η Νομισματική Μονάδα πρέπει να είναι {1},
Account {0}: Parent account {1} can not be a ledger,Ο λογαριασμός {0}: γονικός λογαριασμός {1} δεν μπορεί να είναι καθολικός,
Account {0}: Parent account {1} does not belong to company: {2},Ο λογαριασμός {0}: γονικός λογαριασμός {1} δεν ανήκει στην εταιρεία: {2},
Account {0}: Parent account {1} does not exist,Ο λογαριασμός {0}: γονικός λογαριασμός {1} δεν υπάρχει,
Account {0}: You can not assign itself as parent account,Ο λογαριασμός {0}: δεν μπορεί να οριστεί ως γονικός λογαριασμός του εαυτού του.,
Account: <b>{0}</b> is capital Work in progress and can not be updated by Journal Entry,Λογαριασμός: Το <b>{0}</b> είναι κεφάλαιο Οι εργασίες βρίσκονται σε εξέλιξη και δεν μπορούν να ενημερωθούν με καταχώριση ημερολογίου,
Account: {0} can only be updated via Stock Transactions,Ο λογαριασμός: {0} μπορεί να ενημερώνεται μόνο μέσω συναλλαγών αποθέματος,
Account: {0} is not permitted under Payment Entry,Λογαριασμός: Η {0} δεν επιτρέπεται στην καταχώριση πληρωμής,
Account: {0} with currency: {1} can not be selected,Ο λογαριασμός: {0} με το νόμισμα: {1} δεν μπορεί να επιλεγεί,
Accountant,Λογιστής,
Accounting,Λογιστική,
Accounting Details,Λογιστική Λεπτομέρειες,
Accounting Dimension,Λογιστική διάσταση,
Accounting Dimension <b>{0}</b> is required for 'Balance Sheet' account {1}.,Η λογιστική διάσταση <b>{0}</b> απαιτείται για τον λογαριασμό &quot;Ισολογισμός&quot; {1}.,
Accounting Dimension <b>{0}</b> is required for 'Profit and Loss' account {1}.,Η λογιστική διάσταση <b>{0}</b> είναι απαραίτητη για το λογαριασμό &quot;Κέρδη και ζημιές&quot; {1}.,
Accounting Dimension Detail,Λεπτομέρεια λογιστικής διάστασης,
Accounting Dimensions,Λογιστικές Διαστάσεις,
Accounting Dimensions ,Λογιστικές διαστάσεις,
Accounting Entries,Λογιστικές εγγραφές,
Accounting Entry for Asset,Λογιστική εγγραφή για στοιχεία ενεργητικού,
Accounting Entry for Service,Λογιστική είσοδος για υπηρεσία,
Accounting Entry for Stock,Λογιστική εγγραφή για απόθεμα,
Accounting Entry for {0}: {1} can only be made in currency: {2},Λογιστική καταχώριση για {0}: {1} μπορεί να γίνει μόνο στο νόμισμα: {2},
Accounting Ledger,Λογιστική Λογιστική,
Accounting Period,Λογιστική περίοδος,
Accounting Period overlaps with {0},Η περίοδος λογιστικής επικαλύπτεται με {0},
Accounting entries are frozen up to this date. Nobody can create or modify entries except users with the role specified below,Οι λογιστικές εγγραφές έχουν παγώσει μέχρι αυτήν την ημερομηνία. Κανείς δεν μπορεί να δημιουργήσει ή να τροποποιήσει καταχωρήσεις εκτός από χρήστες με τον ρόλο που καθορίζεται παρακάτω,
Accounts,Λογαριασμοί,
Accounts Frozen Till Date,Λογαριασμοί Παγωμένοι Μέχρι την Ημερομηνία,
Accounts Manager,Διαχειριστής λογαριασμών,
Accounts Payable,Πληρωτέοι λογαριασμοί,
Accounts Payable Summary,Σύνοψη πληρωτέων λογαριασμών,
Accounts Receivable,Εισπρακτέοι λογαριασμοί,
Accounts Receivable Credit Account,Πιστωτικός λογαριασμός εισπρακτέων λογαριασμών,
Accounts Receivable Discounted Account,Απαιτούμενος Λογαριασμός Εισπρακτέων Λογαριασμών,
Accounts Receivable Summary,Σύνοψη εισπρακτέων λογαριασμών,
Accounts Receivable Unpaid Account,Λογαριασμός Εισπρακτέος Μη Καταβεβλημένος Λογαριασμός,
Accounts Settings,Ρυθμίσεις λογαριασμών,
Accounts User,Χρήστης λογαριασμών,
Accounts table cannot be blank.,Λογαριασμοί πίνακας δεν μπορεί να είναι κενό.,
Accrual Journal Entry for salaries from {0} to {1},Εισαγωγή ημερολογίου εκκαθάρισης για τους μισθούς από {0} έως {1},
Accumulated Depreciation,Συσσωρευμένες αποσβέσεις,
Accumulated Depreciation Account,Συσσωρευμένες Αποσβέσεις Λογαριασμού,
Accumulated Depreciation Amount,Συσσωρευμένες Αποσβέσεις Ποσό,
Accumulated Depreciation as on,Συσσωρευμένες Αποσβέσεις και για,
Accumulated Monthly,συσσωρευμένες Μηνιαία,
Accumulated Values,συσσωρευμένες Αξίες,
Accumulated Values in Group Company,Συσσωρευμένες αξίες σε εταιρεία του Ομίλου,
Achieved ({}),Επιτεύχθηκε ({},
Achievement,Κατόρθωμα,
Acquisition Date,Ημερομηνία απόκτησης,
Action,Ενέργεια,
Action If Quality Inspection Is Not Submitted,Ενέργεια εάν δεν υποβληθεί έλεγχος ποιότητας,
Action Initialised,Ενέργεια Αρχικοποιήθηκε,
Action if Accumulated Monthly Budget Exceeded on Actual,Ενέργεια εάν ο συσσωρευμένος μηνιαίος προϋπολογισμός υπερβαίνει την πραγματική,
Action if Accumulated Monthly Budget Exceeded on MR,Δράση εάν ο συσσωρευμένος μηνιαίος προϋπολογισμός υπερβαίνει την τιμή MR,
Action if Accumulated Monthly Budget Exceeded on PO,Ενέργεια εάν ο συσσωρευμένος μηνιαίος προϋπολογισμός υπερβαίνει την ΑΠ,
Action if Annual Budget Exceeded on Actual,Ενέργεια εάν ο ετήσιος προϋπολογισμός υπερβαίνει την πραγματική,
Action if Annual Budget Exceeded on MR,Δράση εάν ο ετήσιος προϋπολογισμός ξεπεράσει το MR,
Action if Annual Budget Exceeded on PO,Δράση εάν ο ετήσιος προϋπολογισμός υπερβαίνει την ΠΕ,
Actions,Ενέργειες,
Actions performed,Ενέργειες που εκτελούνται,
Active,Ενεργός,
Active Assist,Ενεργή βοήθεια,
Active Leads,Ενεργοί οδηγοί,
Active Menu,Ενεργό μενού,
Activities,Δραστηριότητες,
Activity,Δραστηριότητα,
Activity Cost,Δραστηριότητα Κόστους,
Activity Cost exists for Employee {0} against Activity Type - {1},Υπάρχει δραστηριότητα Κόστος υπάλληλου {0} ενάντια Τύπος δραστηριότητας - {1},
Activity Cost per Employee,Δραστηριότητα κόστος ανά εργαζόμενο,
Activity Date,Ημερομηνία δραστηριότητας,
Activity Name,Όνομα δραστηριότητας,
Activity Type,Τύπος δραστηριότητας,
Actual,Πραγματικός,
Actual ,Πραγματικός,
Actual Amount,Πραγματικό ποσό,
Actual Batch Quantity,Πραγματική ποσότητα παρτίδας,
Actual Cost,Πραγματικό κόστος,
Actual Date,Πραγματική ημερομηνία,
Actual Delivery Date,Πραγματική ημερομηνία παράδοσης,
Actual End Date,Πραγματική ημερομηνία λήξης,
Actual End Date (via Time Sheet),Πραγματική Ημερομηνία λήξης (μέσω Ώρα Φύλλο),
Actual End Time,Πραγματική ώρα λήξης,
Actual Operating Cost,Πραγματικό κόστος λειτουργίας,
Actual Operation Time,Πραγματικός χρόνος λειτουργίας,
Actual Qty,Πραγματική ποσότητα,
Actual Qty (at source/target),Πραγματική ποσότητα (στην πηγή / στόχο),
Actual Qty After Transaction,Πραγματική ποσότητα μετά την συναλλαγή,
Actual Qty is mandatory,Η πραγματική ποσότητα είναι υποχρεωτική,
Actual Qty {0} / Waiting Qty {1},Ποσότητα πραγματικού {0} / Ποσό αναμονής {1},
Actual Qty: Quantity available in the warehouse.,Πραγματική ποσότητα : ποσότητα διαθέσιμη στην αποθήκη.,
Actual Quantity,Πραγματική ποσότητα,
Actual Start Date,Πραγματική ημερομηνία έναρξης,
Actual Start Date (via Time Sheet),Πραγματική Ημερομηνία Έναρξης (μέσω Ώρα Φύλλο),
Actual Start Time,Πραγματική ώρα έναρξης,
Actual Time (in Hours),Πραγματική ώρα (σε ώρες),
Actual Time (in hours),Πραγματικός χρόνος (σε ώρες),
Actual Time and Cost,Πραγματικός χρόνος και κόστος,
Actual qty in stock,Πραγματική ποσότητα στο απόθεμα,
Actual type tax cannot be included in Item rate in row {0},Πραγματική φορολογική του τύπου δεν μπορεί να περιλαμβάνεται στην τιμή Θέση στη γραμμή {0},
Add,Προσθήκη,
Add / Edit Prices,Προσθήκη / Επεξεργασία τιμών,
Add / Edit Taxes and Charges,Προσθήκη / επεξεργασία φόρων και επιβαρύνσεων,
Add Article to Topics,Προσθήκη άρθρου σε θέματα,
Add Child,Προσθήκη παιδιού,
Add Comment,Πρόσθεσε σχόλιο,
Add Course to Programs,Προσθήκη μαθήματος σε προγράμματα,
Add Customers,Προσθέστε πελάτες,
Add Employees,Προσθέστε Υπαλλήλους,
Add Exercise Step,Προσθήκη βήματος άσκησης,
Add Exercises,Προσθέστε ασκήσεις,
Add Guardians to Email Group,Προσθήκη κηδεμόνων στην ομάδα email,
Add Item,Πρόσθεσε είδος,
Add Items,Προσθήκη Ειδών,
Add Leads,Προσθήκη προσθηκών,
Add Loan Security,Προσθέστε ασφάλεια δανείου,
Add Medication Orders,Προσθήκη παραγγελιών φαρμάκων,
Add Multiple,Προσθήκη πολλαπλών,
Add Multiple Tasks,Προσθήκη πολλών εργασιών,
Add New Line,Προσθήκη νέας γραμμής,
Add Order Discount,Προσθήκη έκπτωσης παραγγελίας,
Add Participants,Προσθέστε τους συμμετέχοντες,
Add Quiz to Topics,Προσθήκη κουίζ στα θέματα,
Add Quote,Προσθήκη Παράθεση,
Add Row,Προσθήκη Γραμμής,
Add Sales Partners,Προσθέστε συνεργάτες πωλήσεων,
Add Serial No,Προσθήκη σειριακού αριθμού,
Add Students,Προσθέστε Φοιτητές,
Add Suppliers,Προσθήκη προμηθευτών,
Add Test,Προσθήκη δοκιμής,
Add Time Slots,Προσθήκη χρονικών θυρίδων,
Add Timesheets,Προσθήκη Timesheets,
Add Timeslots,Προσθέστε Timeslots,
Add Topic to Courses,Προσθήκη θέματος στα μαθήματα,
Add Users to Marketplace,Προσθέστε χρήστες στο Marketplace,
Add Weekly Holidays,Προσθέστε Εβδομαδιαίες Διακοπές,
Add a new address,Προσθέστε μια νέα διεύθυνση,
Add items in the Item Locations table,Προσθέστε στοιχεία στον πίνακα &quot;Τοποθεσίες στοιχείων&quot;,
Add letterhead,Προσθέστε επιστολόχαρτο,
Add more items or open full form,Προσθέστε περισσότερα στοιχεία ή ανοιχτή πλήρη μορφή,
Add notes,Προσθήκη σημειώσεων,
Add or Deduct,Πρόσθεση ή Αφαίρεση,
Add the rest of your organization as your users. You can also add invite Customers to your portal by adding them from Contacts,Προσθέστε το υπόλοιπο του οργανισμού σας καθώς οι χρήστες σας. Μπορείτε επίσης να προσθέσετε προσκαλέσει πελάτες στην πύλη σας με την προσθήκη τους από τις Επαφές,
Add to Cart,Προσθήκη στο καλάθι,
Add to Courses,Προσθήκη στα μαθήματα,
Add to Details,Προσθήκη στις λεπτομέρειες,
Add to Featured Item,Προσθήκη στο Προτεινόμενο στοιχείο,
Add to Holidays,Προσθήκη στις αργίες,
Add to Programs,Προσθήκη στα Προγράμματα,
Add to Topics,Προσθήκη στα θέματα,
Add to Transit,Προσθήκη στο Transit,
Add unused leaves from previous allocations,Προσθήκη αχρησιμοποίητα φύλλα από προηγούμενες κατανομές,
Add your review,Προσθέστε την κριτική σας,
Add/Edit Coupon Conditions,Προσθήκη / Επεξεργασία Όρων Κουπονιού,
Added to Featured Items,Προστέθηκε στα Επιλεγμένα στοιχεία,
Added to details,Προστέθηκαν στις λεπτομέρειες,
Added {0} ({1}),Προστέθηκε {0} ({1}),
Added {0} users,Προστέθηκαν {0} χρήστες,
Adding Order Entries,Προσθήκη καταχωρίσεων παραγγελίας,
Additional Amount,Πρόσθετο ποσό,
Additional Cost,Πρόσθετο κόστος,
Additional Costs,Πρόσθετα έξοδα,
Additional DIscount Amount,Πρόσθετες ποσό έκπτωσης,
Additional DIscount Percentage,Πρόσθετες ποσοστό έκπτωσης,
Additional Details,Επιπλέον Λεπτομέρειες,
Additional Discount,Επιπλέον έκπτωση,
Additional Discount Amount,Πρόσθετο ποσό έκπτωσης,
Additional Discount Amount (Company Currency),Πρόσθετες ποσό έκπτωσης (Εταιρεία νομίσματος),
Additional Discount Percentage,Πρόσθετο ποσοστό έκπτωσης,
Additional Discount and Coupon Code,Πρόσθετος κωδικός έκπτωσης και κουπονιού,
Additional Information,Επιπλέον πληροφορίες,
Additional Notes,επιπρόσθετες σημειώσεις,
Additional Operating Cost,Πρόσθετο λειτουργικό κόστος,
Additional PF,Πρόσθετο PF,
Additional Salary,Πρόσθετος μισθός,
Additional Salary ,Πρόσθετος μισθός,
Additional Salary: {0} already exist for Salary Component: {1} for period {2} and {3},Πρόσθετος μισθός: {0} υπάρχουν ήδη για το στοιχείο μισθού: {1} για την περίοδο {2} και {3},
Additional information regarding the customer.,Πρόσθετες πληροφορίες σχετικά με τον πελάτη.,
Additional information regarding the patient,Πρόσθετες πληροφορίες σχετικά με τον ασθενή,
Address,Διεύθυνση,
Address & Contact,Διεύθυνση & Επαφή,
Address & Contacts,Διεύθυνση & Επαφές,
Address Desc,Περιγραφή διεύθυνσης,
Address HTML,Διεύθυνση ΗΤΜΛ,
